HOLDING_CODE,off.farm.income,successor
002/0065,TRUE,FALSE
002/0083,TRUE,FALSE
002/0094,TRUE,FALSE
002/0101,FALSE,TRUE
002/0104,FALSE,TRUE
002/0122,FALSE,FALSE
002/0128,FALSE,TRUE
002/0129,FALSE,TRUE
002/0130,FALSE,FALSE
002/0140,TRUE,FALSE
002/0146,FALSE,FALSE
001/0079,TRUE,FALSE
001/0095,TRUE,FALSE
002/0017,FALSE,TRUE
002/0026,TRUE,FALSE
002/0039,FALSE,TRUE
002/0041,FALSE,TRUE
002/0044,FALSE,FALSE
002/0049,FALSE,TRUE
002/0054,FALSE,TRUE
002/0060,FALSE,FALSE
002/0063,FALSE,FALSE
002/0064,TRUE,FALSE
003/0064,FALSE,FALSE
003/0066,FALSE,FALSE
003/0069,TRUE,FALSE
003/0083,TRUE,FALSE
004/0003,TRUE,FALSE
006/0006,FALSE,TRUE
006/0008,TRUE,FALSE
006/0011,TRUE,FALSE
006/0015,FALSE,FALSE
006/0018,TRUE,FALSE
006/0025,TRUE,FALSE
004/0004,TRUE,FALSE
004/0005,TRUE,FALSE
004/0011,FALSE,TRUE
004/0018,TRUE,FALSE
004/0021,FALSE,TRUE
004/0025,TRUE,FALSE
004/0028,FALSE,TRUE
004/0042,TRUE,FALSE
005/0006,FALSE,FALSE
005/0012,TRUE,FALSE
005/0021,FALSE,TRUE
005/0024,TRUE,FALSE
005/0025,TRUE,FALSE
005/0028,TRUE,FALSE
005/0031,FALSE,TRUE
005/0037,TRUE,FALSE
005/0047,TRUE,FALSE
005/0049,FALSE,TRUE
005/0050,FALSE,TRUE
005/0053,TRUE,FALSE
005/0054,FALSE,TRUE
005/0068,FALSE,FALSE
005/0070,TRUE,FALSE
005/0073,FALSE,FALSE
005/0074,TRUE,FALSE
005/0075,FALSE,TRUE
005/0076,TRUE,FALSE
005/0083,TRUE,FALSE
005/0088,FALSE,FALSE
002/0198,TRUE,FALSE
002/0204,FALSE,TRUE
003/0002,TRUE,FALSE
003/0005,TRUE,FALSE
003/0011,FALSE,TRUE
003/0016,FALSE,TRUE
003/0033,FALSE,FALSE
003/0038,TRUE,FALSE
003/0047,TRUE,FALSE
003/0049,TRUE,FALSE
009/0008,FALSE,TRUE
009/0011,FALSE,TRUE
009/0023,TRUE,FALSE
006/0033,FALSE,FALSE
006/0038,FALSE,TRUE
006/0044,FALSE,TRUE
006/0045,FALSE,TRUE
006/0047,TRUE,FALSE
006/0061,FALSE,TRUE
006/0062,TRUE,FALSE
007/0002,FALSE,TRUE
007/0010,FALSE,TRUE
007/0017,FALSE,TRUE
007/0018,TRUE,FALSE
007/0019,TRUE,FALSE
007/0020,TRUE,FALSE
007/0024,FALSE,TRUE
007/0030,FALSE,FALSE
007/0031,TRUE,FALSE
007/0037,TRUE,FALSE
008/0001,FALSE,TRUE
008/0020,FALSE,FALSE
008/0031,FALSE,FALSE
008/0038,TRUE,FALSE
008/0042,FALSE,TRUE
008/0057,TRUE,FALSE
008/0059,FALSE,TRUE
008/0067,FALSE,FALSE
008/0070,TRUE,FALSE
008/0082,FALSE,TRUE
008/0094,TRUE,FALSE
008/0109,FALSE,TRUE
008/0110,FALSE,TRUE
008/0112,TRUE,FALSE
008/0115,FALSE,TRUE
008/0122,FALSE,TRUE
009/0004,TRUE,FALSE
009/0098,FALSE,TRUE
009/0104,TRUE,FALSE
009/0112,FALSE,TRUE
009/0117,TRUE,FALSE
011/0040,FALSE,FALSE
011/0042,TRUE,FALSE
011/0046,FALSE,FALSE
011/0048,TRUE,FALSE
009/0158,TRUE,FALSE
009/0163,TRUE,FALSE
010/0021,FALSE,TRUE
010/0025,TRUE,FALSE
010/0033,FALSE,FALSE
010/0034,FALSE,TRUE
010/0049,TRUE,FALSE
010/0055,FALSE,FALSE
010/0084,TRUE,FALSE
011/0006,TRUE,FALSE
011/0013,TRUE,FALSE
011/0017,TRUE,FALSE
011/0019,FALSE,TRUE
011/0027,TRUE,FALSE
011/0031,FALSE,TRUE
011/0032,TRUE,FALSE
009/0032,FALSE,TRUE
009/0051,FALSE,FALSE
009/0053,FALSE,TRUE
009/0055,FALSE,TRUE
009/0060,FALSE,TRUE
009/0076,TRUE,FALSE
009/0092,FALSE,FALSE
013/0007,FALSE,FALSE
013/0017,FALSE,TRUE
013/0022,TRUE,FALSE
013/0024,TRUE,FALSE
011/0057,FALSE,FALSE
011/0064,FALSE,TRUE
011/0069,FALSE,FALSE
011/0073,FALSE,FALSE
011/0089,TRUE,FALSE
011/0097,TRUE,FALSE
011/0113,FALSE,TRUE
011/0138,TRUE,FALSE
011/0150,TRUE,FALSE
012/0011,FALSE,TRUE
012/0015,FALSE,TRUE
012/0019,FALSE,TRUE
012/0065,FALSE,TRUE
012/0069,FALSE,TRUE
012/0072,FALSE,TRUE
012/0075,TRUE,FALSE
012/0085,FALSE,FALSE
012/0100,TRUE,FALSE
012/0101,FALSE,TRUE
012/0108,FALSE,FALSE
012/0138,FALSE,TRUE
012/0145,TRUE,FALSE
012/0151,TRUE,FALSE
012/0157,TRUE,FALSE
014/0007,FALSE,FALSE
014/0008,FALSE,TRUE
014/0009,TRUE,FALSE
014/0011,FALSE,TRUE
014/0016,FALSE,FALSE
014/0017,FALSE,TRUE
014/0020,FALSE,FALSE
017/0003,FALSE,FALSE
017/0022,TRUE,FALSE
017/0027,FALSE,TRUE
017/0031,TRUE,FALSE
014/0022,TRUE,FALSE
014/0028,FALSE,FALSE
014/0034,FALSE,TRUE
014/0035,TRUE,FALSE
014/0040,FALSE,TRUE
014/0044,FALSE,FALSE
014/0045,FALSE,TRUE
014/0048,TRUE,FALSE
014/0080,FALSE,TRUE
014/0092,FALSE,FALSE
015/0005,FALSE,TRUE
015/0006,FALSE,FALSE
015/0009,FALSE,TRUE
015/0010,FALSE,TRUE
015/0014,FALSE,FALSE
015/0022,TRUE,FALSE
015/0026,FALSE,TRUE
015/0028,TRUE,FALSE
015/0029,FALSE,TRUE
015/0031,FALSE,FALSE
015/0037,FALSE,TRUE
015/0045,FALSE,FALSE
015/0046,FALSE,TRUE
016/0020,FALSE,TRUE
013/0028,FALSE,TRUE
013/0036,FALSE,FALSE
013/0065,TRUE,FALSE
013/0070,FALSE,TRUE
013/0074,FALSE,TRUE
013/0077,FALSE,TRUE
013/0080,FALSE,FALSE
014/0001,FALSE,FALSE
014/0002,FALSE,TRUE
014/0003,FALSE,TRUE
014/0004,FALSE,TRUE
020/0043,TRUE,FALSE
020/0044,FALSE,TRUE
020/0050,TRUE,FALSE
020/0054,FALSE,TRUE
020/0063,FALSE,TRUE
020/0070,FALSE,FALSE
018/0004,FALSE,FALSE
018/0011,FALSE,TRUE
018/0012,FALSE,TRUE
018/0016,TRUE,FALSE
018/0018,FALSE,FALSE
018/0030,TRUE,FALSE
018/0032,FALSE,TRUE
018/0035,TRUE,FALSE
018/0044,FALSE,FALSE
018/0047,FALSE,FALSE
019/0001,FALSE,TRUE
019/0012,TRUE,FALSE
019/0017,TRUE,FALSE
019/0018,FALSE,TRUE
019/0022,FALSE,TRUE
019/0026,FALSE,TRUE
019/0027,FALSE,TRUE
019/0032,FALSE,TRUE
019/0034,FALSE,TRUE
019/0039,TRUE,FALSE
019/0049,TRUE,FALSE
019/0057,FALSE,TRUE
019/0060,FALSE,FALSE
019/0062,FALSE,FALSE
019/0067,FALSE,FALSE
019/0068,FALSE,FALSE
020/0004,TRUE,FALSE
020/0007,FALSE,FALSE
020/0011,FALSE,TRUE
020/0014,FALSE,TRUE
020/0021,FALSE,FALSE
020/0024,FALSE,TRUE
020/0025,TRUE,FALSE
021/0005,FALSE,FALSE
021/0019,TRUE,FALSE
021/0020,FALSE,TRUE
021/0021,FALSE,TRUE
021/0029,FALSE,TRUE
021/0042,FALSE,FALSE
021/0052,FALSE,TRUE
023/0035,FALSE,TRUE
023/0036,FALSE,TRUE
023/0037,TRUE,FALSE
023/0043,FALSE,TRUE
023/0045,FALSE,FALSE
023/0048,FALSE,TRUE
023/0050,TRUE,FALSE
023/0051,FALSE,TRUE
021/0080,FALSE,TRUE
021/0084,FALSE,FALSE
021/0088,FALSE,TRUE
021/0102,FALSE,FALSE
021/0108,TRUE,FALSE
022/0005,FALSE,TRUE
022/0009,FALSE,TRUE
022/0013,FALSE,TRUE
022/0021,TRUE,FALSE
022/0034,TRUE,FALSE
022/0040,TRUE,FALSE
022/0041,FALSE,FALSE
022/0047,FALSE,FALSE
022/0050,TRUE,FALSE
023/0004,FALSE,TRUE
023/0005,FALSE,TRUE
023/0008,FALSE,TRUE
023/0014,TRUE,FALSE
023/0015,TRUE,FALSE
023/0018,TRUE,FALSE
023/0023,FALSE,TRUE
023/0024,FALSE,TRUE
023/0025,FALSE,TRUE
023/0029,FALSE,FALSE
023/0030,FALSE,TRUE
020/0085,TRUE,FALSE
020/0086,FALSE,FALSE
020/0090,TRUE,FALSE
020/0091,FALSE,TRUE
020/0092,TRUE,FALSE
020/0096,FALSE,TRUE
020/0103,FALSE,TRUE
020/0114,TRUE,FALSE
020/0117,TRUE,FALSE
020/0125,TRUE,FALSE
020/0128,TRUE,FALSE
020/0135,FALSE,TRUE
025/0085,FALSE,TRUE
025/0094,FALSE,TRUE
025/0116,FALSE,FALSE
023/0068,TRUE,FALSE
023/0069,FALSE,FALSE
024/0005,FALSE,TRUE
024/0008,TRUE,FALSE
024/0019,FALSE,TRUE
024/0020,FALSE,TRUE
024/0023,FALSE,TRUE
024/0024,TRUE,FALSE
024/0029,FALSE,TRUE
024/0030,FALSE,FALSE
024/0035,TRUE,FALSE
024/0037,TRUE,FALSE
024/0040,TRUE,FALSE
024/0041,TRUE,FALSE
024/0045,FALSE,FALSE
024/0049,TRUE,FALSE
024/0062,FALSE,TRUE
024/0063,FALSE,FALSE
025/0001,TRUE,FALSE
025/0005,FALSE,TRUE
025/0009,TRUE,FALSE
025/0010,FALSE,FALSE
025/0019,FALSE,FALSE
025/0022,FALSE,FALSE
025/0041,TRUE,FALSE
025/0042,TRUE,FALSE
025/0048,TRUE,FALSE
025/0052,TRUE,FALSE
025/0055,FALSE,FALSE
025/0056,FALSE,FALSE
025/0064,FALSE,FALSE
025/0067,FALSE,FALSE
025/0068,FALSE,FALSE
025/0072,FALSE,TRUE
025/0076,TRUE,FALSE
025/0083,FALSE,TRUE
027/0008,FALSE,FALSE
027/0038,FALSE,TRUE
027/0042,FALSE,TRUE
027/0046,FALSE,TRUE
027/0050,FALSE,TRUE
028/0170,TRUE,FALSE
028/0199,FALSE,TRUE
028/0213,TRUE,FALSE
028/0011,FALSE,TRUE
028/0015,FALSE,TRUE
028/0018,TRUE,FALSE
028/0023,TRUE,FALSE
028/0028,TRUE,FALSE
028/0029,TRUE,FALSE
028/0055,TRUE,FALSE
028/0065,TRUE,FALSE
028/0069,FALSE,TRUE
028/0070,FALSE,TRUE
028/0081,FALSE,TRUE
028/0082,TRUE,FALSE
028/0083,FALSE,TRUE
028/0090,TRUE,FALSE
028/0094,FALSE,TRUE
028/0103,TRUE,FALSE
028/0119,FALSE,TRUE
028/0121,TRUE,FALSE
028/0126,FALSE,TRUE
028/0127,FALSE,TRUE
028/0136,TRUE,FALSE
028/0156,FALSE,TRUE
025/0139,FALSE,FALSE
025/0145,TRUE,FALSE
026/0016,FALSE,TRUE
026/0021,FALSE,TRUE
026/0038,TRUE,FALSE
026/0042,TRUE,FALSE
026/0073,TRUE,FALSE
026/0074,TRUE,FALSE
026/0076,TRUE,FALSE
026/0082,FALSE,TRUE
027/0001,FALSE,TRUE
027/0004,FALSE,TRUE
030/0010,FALSE,TRUE
030/0012,FALSE,FALSE
030/0014,TRUE,FALSE
030/0017,FALSE,TRUE
030/0019,TRUE,FALSE
028/0218,TRUE,FALSE
028/0228,TRUE,FALSE
028/0236,FALSE,TRUE
029/0008,TRUE,FALSE
029/0015,TRUE,FALSE
029/0016,TRUE,FALSE
029/0022,FALSE,FALSE
029/0026,FALSE,TRUE
029/0043,FALSE,TRUE
029/0045,FALSE,FALSE
029/0049,FALSE,TRUE
029/0066,FALSE,TRUE
029/0072,FALSE,TRUE
029/0077,TRUE,FALSE
029/0083,FALSE,FALSE
029/0100,FALSE,FALSE
029/0101,FALSE,TRUE
029/0106,TRUE,FALSE
029/0119,TRUE,FALSE
029/0120,FALSE,TRUE
029/0142,TRUE,FALSE
029/0150,TRUE,FALSE
029/0152,FALSE,TRUE
029/0170,FALSE,TRUE
029/0174,TRUE,FALSE
030/0002,FALSE,TRUE
030/0003,FALSE,FALSE
030/0007,TRUE,FALSE
030/0008,TRUE,FALSE
030/0092,FALSE,FALSE
030/0093,TRUE,FALSE
030/0094,TRUE,FALSE
030/0095,FALSE,TRUE
030/0107,FALSE,TRUE
030/0248,FALSE,FALSE
030/0252,FALSE,TRUE
030/0254,FALSE,TRUE
030/0114,TRUE,FALSE
030/0128,TRUE,FALSE
030/0129,FALSE,TRUE
030/0131,TRUE,FALSE
030/0156,TRUE,FALSE
030/0157,TRUE,FALSE
030/0177,FALSE,FALSE
030/0180,FALSE,FALSE
030/0183,FALSE,TRUE
030/0184,FALSE,TRUE
030/0186,FALSE,TRUE
030/0188,FALSE,TRUE
030/0191,FALSE,TRUE
030/0192,TRUE,FALSE
030/0200,FALSE,TRUE
030/0202,FALSE,TRUE
030/0210,FALSE,TRUE
030/0219,FALSE,TRUE
030/0225,FALSE,TRUE
030/0231,TRUE,FALSE
030/0234,FALSE,FALSE
030/0242,TRUE,FALSE
030/0245,TRUE,FALSE
030/0027,FALSE,TRUE
030/0031,FALSE,FALSE
030/0038,TRUE,FALSE
030/0040,FALSE,FALSE
030/0044,FALSE,TRUE
030/0047,FALSE,TRUE
030/0052,TRUE,FALSE
030/0055,TRUE,FALSE
030/0059,FALSE,TRUE
030/0068,FALSE,TRUE
030/0073,FALSE,TRUE
031/0032,TRUE,FALSE
031/0034,FALSE,FALSE
031/0040,FALSE,FALSE
031/0045,TRUE,FALSE
031/0049,FALSE,TRUE
030/0279,TRUE,FALSE
030/0299,FALSE,TRUE
030/0305,FALSE,TRUE
030/0306,TRUE,FALSE
030/0310,FALSE,FALSE
030/0328,FALSE,FALSE
030/0331,FALSE,TRUE
030/0338,FALSE,TRUE
030/0346,TRUE,FALSE
030/0348,TRUE,FALSE
030/0350,FALSE,TRUE
030/0351,TRUE,FALSE
030/0360,FALSE,TRUE
030/0365,FALSE,TRUE
030/0371,TRUE,FALSE
030/0376,TRUE,FALSE
030/0377,FALSE,FALSE
030/0386,TRUE,FALSE
030/0388,FALSE,TRUE
030/0390,TRUE,FALSE
030/0393,FALSE,TRUE
030/0401,FALSE,FALSE
030/0415,FALSE,TRUE
030/0437,FALSE,FALSE
030/0471,TRUE,FALSE
030/0473,TRUE,FALSE
031/0001,FALSE,FALSE
031/0003,FALSE,TRUE
031/0005,TRUE,FALSE
031/0007,TRUE,FALSE
031/0010,FALSE,TRUE
031/0013,FALSE,TRUE
031/0019,FALSE,TRUE
031/0021,FALSE,TRUE
031/0103,FALSE,TRUE
031/0104,FALSE,FALSE
031/0120,FALSE,TRUE
031/0123,FALSE,TRUE
031/0147,FALSE,FALSE
031/0148,FALSE,TRUE
031/0310,TRUE,FALSE
031/0313,FALSE,FALSE
031/0343,FALSE,TRUE
031/0348,FALSE,TRUE
031/0368,TRUE,FALSE
031/0372,FALSE,FALSE
031/0156,FALSE,TRUE
031/0159,FALSE,FALSE
031/0162,FALSE,TRUE
031/0165,TRUE,FALSE
031/0169,FALSE,FALSE
031/0170,FALSE,FALSE
031/0171,FALSE,TRUE
031/0173,FALSE,TRUE
031/0180,FALSE,TRUE
031/0198,FALSE,TRUE
031/0202,FALSE,FALSE
031/0206,FALSE,TRUE
031/0226,TRUE,FALSE
031/0230,FALSE,FALSE
031/0239,FALSE,TRUE
031/0242,TRUE,FALSE
031/0245,FALSE,TRUE
031/0259,TRUE,FALSE
031/0263,TRUE,FALSE
031/0265,FALSE,FALSE
031/0266,TRUE,FALSE
031/0268,TRUE,FALSE
031/0281,TRUE,FALSE
031/0300,TRUE,FALSE
031/0054,FALSE,TRUE
031/0061,TRUE,FALSE
031/0069,FALSE,TRUE
031/0070,TRUE,FALSE
031/0072,TRUE,FALSE
031/0076,TRUE,FALSE
031/0078,FALSE,TRUE
