HOLDING_CODE,ITEM1,ITEM2,ITEM14,ITEM40,ITEM41,ITEM46,ITEM47,ITEM48,ITEM49,ITEM50,ITEM84,ITEM85,ITEM86,ITEM87,ITEM94,ITEM95,ITEM96,ITEM145,ITEM157,ITEM170,ITEM171,ITEM177,ITEM178,ITEM179,ITEM182,ITEM183,ITEM184,ITEM200,ITEM1714,ITEM1715,ITEM1716,ITEM1717,ITEM1718,ITEM1719,ITEM100,ITEM101,ITEM102,ITEM103,ITEM104,ITEM105,ITEM106,ITEM107,ITEM108,ITEM109,ITEM110,ITEM111,ITEM112,ITEM113,ITEM114,ITEM115,ITEM116,ITEM117,ITEM118,ITEM119,ITEM120,ITEM121,ITEM122,group,group1,ITEM42,ITEM43,ITEM44,ITEM45,ITEM16,ITEM18,ITEM17,ITEM20,cattle_dairy,cattle_beef,calf_dairy,calf_beef,service_bull,breeder_dairy,breeder_beef,cattle_other,barley,oats,grass,roughGraz,area
001/0079,0,13.09,0,0,0,7.59,7.89,0,0.92,16.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,12,0,0,0,1,1,0,0,0,0,0,13,0,0,6,4,6,4,3,57,3,NA,0.000000000000000,1.210000000000000,0,6.380000000000000,0,0,0,0,0,20,9,8,1,0,0,19,0,0,7.59,7.89,16.4
001/0095,0,0,0,0,0,17.28,0,0,0,17.28,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,3,NA,0.000000000000000,0.000000000000000,0,17.280000000000001,0,0,0,0,0,0,0,0,0,0,0,12,0,0,17.28,0,17.28
002/0017,0,118.4,8.5,117.2,0,152.4,2.31,0.3,1.2,156.21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,176,0,0,0,0,0,0,0,217,2,NA,14.970000000000001,12.750000000000000,0,7.480000000000000,51.8,3.85,0,0,0,41,0,0,0,0,0,217,55.65,0,35.2,2.31,156.21
002/0025,0,0,0,0,0,8.2,0,0,0,8.2,0,0,0,0,0,0,8,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,10,3,NA,0.000000000000000,1.220000000000000,0,6.980000000000000,0,0,0,0,0,7,1,0,0,0,2,0,0,0,8.2,0,8.2
002/0026,6.26,45.29,0,98.18,0,134.43,18.19,8.36,2.91,163.89,0,0,0,0,0,0,0,330,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,65,0,0,0,0,0,6,3,0,0,0,0,1,28,0,0,28,6,15,17,19,188,2,NA,0.000000000000000,9.279999999999999,20,6.970000000000000,30.15,29.35,0,0,0,72,34,23,3,0,0,57,59.5,0,36.25,18.19,163.89
002/0028,0,0,0,10.1,0,24.6,0,1.5,0.5,26.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,70,3,NA,0.000000000000000,0.000000000000000,0,14.500000000000000,0,10.1,0,0,0,70,0,0,0,0,0,70,10.1,0,14.5,0,26.6
002/0039,0,0,0,23.8,0,71.4,0,0,3.1,74.5,0,0,0,0,0,0,0,347,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,10,0,6,0,0,2,1,2,0,0,0,21,0,4,14,6,3,14,14,130,2,NA,24.699999999999999,0.000000000000000,12.5,10.400000000000000,0,3.6,0,16.2,0,51,17,20,3,0,4,37,3.6,16.2,47.6,0,74.5
002/0041,0,7.42,0,2.8,0,22.9,0.6,0,0.5,24,0,0,0,0,0,0,0,299,0,23,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,14,3,NA,2.400000000000000,1.200000000000000,4,12.500000000000000,0,0,0,2.8,0,6,0,0,0,0,0,14,0,2.8,20.1,0.6,24
002/0044,0,0,0,0,0,18.5,5,0,0.2,23.7,0,0,0,0,0,0,0,196,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,3,19,3,NA,0.000000000000000,0.000000000000000,0,18.500000000000000,0,0,0,0,0,12,3,3,1,0,0,1,0,0,18.5,5,23.7
002/0049,0,11.86,10.66,148.57,0,230.5,0,0,2.07,232.57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,80,0,14,0,8,0,10,0,0,0,0,0,0,0,16,33,0,39,20,14,33,50,317,2,NA,30.000000000000000,10.480000000000000,25.55,15.900000000000000,60.52,60.69,0,0,112,0,64,53,0,33,0,55,121.21,0,81.93,0,232.57
