HOLDING_CODE,OBJECTID..,SURVTYPE,SLR,ITEM7,ITEM11,ITEM12,ITEM40,ITEM157,ITEM170,ITEM122,ITEM145,ITEM2479,ITEM1703,ITEM1707,ITEM459,ITEM538,ITEM1825,ITEM1827,ITEM1828,ITEM1830,ITEM2495,ITEM1668,ITEM2512,ITEM2513,ITEM2514,ITEM2492,ITEM2499,ITEM1870,ITEM1871,ITEM1875,ITEM1872,ITEM1874,ITEM2500,ITEM2501,ITEM2502,ITEM1876,ITEM2503,ITEM2504,ITEM2505,TOTDAAREA,TOTNONLFAAREA,TOTSDAAREA,ITEM2482,ITEM2483,ITEM2484,ITEM2485,ITEM2486,ITEM2487,ITEM2321,ITEM2322,ITEM47,ITEM48,ITEM100,ITEM102,ITEM104,ITEM106,cattle.beef,cattle.dairy,calf.beef,calf.dairy,breeder.beef,breeder.dairy,service.bull,cattle.other,cattle.all
001/0079,18,SAF+FSE,0.386232,0,16.4,16.4,0,0,0,67,0,0,0,0,1,0,6,0,5,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,0,0,0,0,0,0,13.96,0,0,0,0,0,0,20,0,8,9,0,0,1,19,57
001/0095,19,SAF+FSE,0.034463,17.26,0,17.26,0,0,0,0,0,0,1,1,0,1,0,6,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.26,0,0,0,0,0,0,1,0,16.37,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
002/0017,27,SAF+FSE,2.486842,0,204.54,204.54,111.28,0,0,242,3,0,0,0,1,0,5,0,6,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.71,2.83,0,0,0,0,0,0,52.2,22.06,1.68,10.92,0,0,0,0,41,0,0,0,0,0,0,217,258
002/0025,29,Main+FSE,0.013276,0,8,8,0,0,0,0,0,0,0,0,2,0,6,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5.83,1.27,0,0,0,0,0,7,0,0,1,2,0,0,0,10
002/0026,30,SAF+FSE,0.425474,0,155.05,155.05,16.87,0,0,0,0,0,1,1,0,1,0,5,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.19,50.36,0,0,0,0,0,0,12.87,98.64,16.64,9.75,0,0,0,0,72,0,23,34,0,0,3,57,189
002/0028,31,SAF+FSE,0.039789,0,19.99,19.99,0,0,0,0,0,0,0,0,1,0,7,0,2,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,19.99,0,0,1,0,0,0,0,0,10.1,8.8,0,0,0,0,0,0,70,0,0,0,0,0,0,70,140
002/0039,1,SAF+FSE,1.080505,0,74.5,74.5,14.61,0,0,132,0,0,0,0,1,0,6,0,6,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39.36,35.14,0,0,0,0,0,0,0,45.89,11.26,0,0,0,0,0,0,51,0,20,17,4,0,3,37,132
002/0041,2,SAF+FSE,0.743134,0,33.78,33.78,0,0,20,49,260,0,0,0,1,0,6,0,5,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.59,0,0,0,0,0,0,15.09,17.42,0,0,0,0,0,0,6,0,0,0,0,0,0,14,20
002/0044,4,SAF+FSE,0.247771,0,23.7,23.7,0,0,0,40,0,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7,0,0,0,0,0,0,0,16.43,6.03,0,0,0,0,0,12,0,3,3,0,0,1,1,20
002/0049,5,SAF+FSE,6.148618,0,232.57,232.57,127.58,0,0,388,0,0,0,0,1,0,5,0,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.57,0,0,0,0,0,0,0,81.46,18.02,2.57,0,134,42,4,27,0,112,53,64,0,33,0,55,317
002/0054,8,SAF+FSE,1.446663,0,69.42,69.42,45.83,0,0,220,0,0,0,0,1,0,6,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.42,0,0,0,0,0,0,0,19.94,0,0,3.06,0,0,0,0,49,0,0,0,0,0,0,118,167
002/0060,9,SAF+FSE,0.706842,0,65.8,65.8,16.45,0,8,84,0,0,0,0,2,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,65.8,0,0,0,0,0,0,0,0,25.97,17.94,0,4.68,0,0,0,0,45,0,17,24,0,4,1,0,91
002/0063,11,SAF+FSE,1.114455,0,105.31,105.31,8.04,0,0,139,90,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.31,0,0,0,0,0,0,21.61,22.6,49.39,0,0,0,0,0,33,0,44,47,0,0,1,68,193
